                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4425,                 4.0245,                 1.4854,                0.00867,                0.24994,                0.03972,                0.02458,                 1.3445,                  4.201,                 1.4704,               3.57e-05,               3.57e-05,               3.57e-05
                      2,                 1.5712,                 3.9882,                 1.5017,                0.01695,                0.25294,                0.06614,                  0.045,                 1.3482,                 4.1914,                 1.4609,             7.5948e-05,             7.5948e-05,             7.5948e-05
                      3,                 1.4342,                   3.69,                 1.4718,                0.01742,                0.26683,                0.07755,                0.04973,                 1.3828,                 4.1785,                  1.464,             0.00011337,             0.00011337,             0.00011337
                      4,                 1.3689,                 3.4688,                 1.3775,                0.01712,                0.27919,                0.08009,                0.05069,                 1.3776,                 4.1611,                 1.4587,             0.00014796,             0.00014796,             0.00014796
                      5,                 1.4864,                 3.2055,                  1.446,                0.01513,                0.26615,                0.08187,                0.05246,                 1.3908,                 4.1045,                 1.4766,             0.00017973,             0.00017973,             0.00017973
                      6,                 1.2795,                 2.9106,                 1.3584,                0.01326,                0.30477,                0.08379,                0.05549,                 1.4244,                 3.9901,                 1.5223,             0.00020867,             0.00020867,             0.00020867
                      7,                 1.4747,                 2.6874,                 1.4082,                0.94136,                0.04565,                0.13751,                0.08663,                 1.4491,                 3.8573,                 1.5448,             0.00023478,             0.00023478,             0.00023478
                      8,                 1.4246,                 2.5354,                 1.3987,                 0.9433,                0.03382,                0.18386,                0.11314,                 1.4506,                 3.6609,                 1.5366,             0.00025806,             0.00025806,             0.00025806
                      9,                 1.3865,                 2.3224,                 1.3983,                0.90739,                0.07121,                0.23112,                0.14498,                 1.4874,                 3.4275,                  1.566,             0.00027852,             0.00027852,             0.00027852
                     10,                 1.3999,                 2.1562,                 1.3477,                0.85221,                0.11514,                 0.2512,                0.15133,                 1.4972,                  3.281,                 1.5931,             0.00029615,             0.00029615,             0.00029615
                     11,                 1.4251,                  2.182,                 1.3659,                0.79604,                0.14648,                0.25919,                0.15438,                 1.4777,                  3.145,                 1.5773,             0.00031095,             0.00031095,             0.00031095
                     12,                 1.3769,                 2.0764,                 1.4467,                0.70451,                0.17057,                0.28432,                0.16501,                 1.4906,                 3.0685,                  1.601,             0.00032292,             0.00032292,             0.00032292
                     13,                  1.365,                 1.9854,                 1.3499,                0.66089,                0.19762,                0.28765,                0.16427,                 1.5153,                 3.0316,                 1.6151,             0.00033207,             0.00033207,             0.00033207
                     14,                 1.4204,                 1.9168,                 1.3178,                0.64811,                0.22118,                0.30242,                0.17362,                 1.5052,                 2.9134,                 1.5971,             0.00033839,             0.00033839,             0.00033839
                     15,                 1.3135,                 2.0341,                 1.3479,                0.64707,                0.22019,                0.31215,                0.18311,                 1.4943,                 2.8379,                 1.5825,             0.00034188,             0.00034188,             0.00034188
                     16,                 1.3807,                 1.9595,                  1.303,                0.60409,                0.23082,                0.31561,                0.17791,                 1.4743,                 2.7921,                 1.5578,             0.00034254,             0.00034254,             0.00034254
                     17,                 1.2583,                  1.911,                 1.3312,                0.58436,                 0.2421,                 0.3122,                0.16843,                 1.4876,                 2.8129,                 1.5748,             0.00033701,             0.00033701,             0.00033701
                     18,                 1.2618,                 1.7147,                 1.2967,                0.45977,                 0.2917,                 0.3265,                0.17017,                 1.5245,                 2.7131,                 1.6032,             0.00031345,             0.00031345,             0.00031345
                     19,                 1.4032,                 1.8486,                  1.413,                0.45737,                0.32004,                0.33649,                0.17358,                 1.5329,                 2.6435,                 1.6075,             0.00028988,             0.00028988,             0.00028988
                     20,                 1.2246,                 1.6318,                 1.3029,                0.54774,                0.35555,                0.37444,                0.19502,                 1.5414,                 2.5627,                   1.61,             0.00026632,             0.00026632,             0.00026632
                     21,                 1.2354,                 1.9735,                 1.2454,                0.53965,                0.35161,                0.37853,                0.20252,                 1.5447,                 2.5401,                 1.6088,             0.00024276,             0.00024276,             0.00024276
                     22,                 1.1588,                 1.6605,                 1.2385,                 0.5467,                0.36038,                0.36882,                0.19715,                 1.5318,                 2.5557,                 1.6015,              0.0002192,              0.0002192,              0.0002192
                     23,                 1.3004,                 1.8722,                 1.2692,                0.53743,                0.33798,                0.36436,                0.20015,                 1.5162,                 2.5657,                 1.5966,             0.00019564,             0.00019564,             0.00019564
                     24,                 1.2269,                 1.8414,                 1.2788,                0.52683,                0.34276,                0.37166,                0.20867,                 1.5065,                  2.524,                 1.6018,             0.00017207,             0.00017207,             0.00017207
                     25,                 1.2103,                 1.6763,                  1.258,                0.52096,                0.35041,                0.37427,                0.21534,                 1.4979,                 2.4704,                 1.5945,             0.00014851,             0.00014851,             0.00014851
                     26,                 1.2336,                 1.8555,                 1.3291,                0.50851,                0.38609,                0.39339,                0.22448,                 1.4855,                  2.343,                 1.5887,             0.00012495,             0.00012495,             0.00012495
                     27,                 1.2431,                 1.7128,                 1.2253,                0.50597,                0.38777,                0.40278,                0.23413,                 1.4783,                 2.2837,                 1.5818,             0.00010139,             0.00010139,             0.00010139
                     28,                 1.3074,                 2.0567,                 1.3345,                0.56291,                0.38692,                 0.4261,                0.25084,                 1.4616,                 2.2102,                 1.5624,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                 1.4099,                  1.839,                 1.4356,                0.58928,                0.38017,                0.43028,                0.25318,                 1.4536,                 2.1877,                 1.5529,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                 1.0807,                 1.5021,                 1.2234,                0.59921,                0.38343,                0.43479,                0.25254,                 1.4433,                 2.1637,                 1.5446,             3.0702e-05,             3.0702e-05,             3.0702e-05
